2
MMLadder,GreedyBot2
(2, -6)to(2, -4)
(-2, 6)to(0, 4)
(4, -5)to(3, -4)
(-4, 8)to(-2, 4)
(4, -7)to(2, -3)
(-3, 6)to(-3, 4)
(3, -4)to(1, -2)
(-4, 6)to(-4, 4)
(3, -5)to(1, -1)
(-1, 5)to(1, 3)
(2, -4)to(0, 0)
(-4, 5)to(-2, 3)
(4, -8)to(2, -4)
(-3, 5)to(-3, 3)
(3, -7)to(3, -3)
(0, 4)to(2, 2)
(2, -3)to(0, 1)
(-3, 4)to(-1, 0)
(2, -5)to(-2, 1)
(-4, 4)to(-2, 0)
(1, -2)to(-3, 6)
(-3, 7)to(-1, 3)
(-3, 6)to(-3, 7)
(-2, 4)to(0, 2)
(-3, 7)to(-4, 8)
(-1, 3)to(-1, -1)
(1, -1)to(-1, 1)
(1, 3)to(3, 1)
(0, 0)to(-2, 4)
(-3, 3)to(1, 1)
(4, -6)to(3, -5)
(2, 2)to(4, 0)
(2, -4)to(2, -3)
(0, 2)to(0, 0)
(3, -6)to(1, -2)
(-2, 0)to(4, -6)
(-1, 1)to(-1, 2)
(1, 1)to(1, -3)
(3, -3)to(2, -2)
(0, 0)to(2, -4)
(-1, 2)to(-3, 6)
(-1, 0)to(-1, -2)
(2, -3)to(0, -1)
(-1, -1)to(3, -3)
(2, -2)to(0, 0)
(-4, 7)to(-4, 6)
(-2, 1)to(-2, 2)
(-2, 3)to(-2, 1)
(0, 1)to(0, 2)
(-2, 5)to(-2, 3)
(1, -2)to(-1, 4)
(-2, 3)to(0, 1)
(3, -5)to(3, -4)
(1, -3)to(3, -5)
(-2, 2)to(-3, 3)
(-4, 6)to(-4, 5)
(3, -4)to(2, -3)
(-4, 5)to(-4, 4)
(1, -5)to(1, -4)
(-4, 4)to(-2, 0)
(1, -4)to(-1, 2)
(-2, 1)to(0, -3)
(2, -3)to(1, -2)
(-1, -2)to(3, -6)
(1, -2)to(1, -1)
(3, -5)to(3, -7)
(1, -1)to(-3, 7)
(4, -6)to(4, -8)
(-3, 6)to(-4, 7)
(3, 1)to(3, 0)
(0, -1)to(1, -1)
(0, 1)to(2, -1)
(1, -1)to(-3, 5)
(4, 0)to(4, -4)
(-3, 3)to(-2, 3)
(3, 0)to(3, -1)
(-2, 3)to(-2, 5)
(-2, 0)to(-2, -1)
(-1, 4)to(-3, 6)
(3, -1)to(3, -2)
(-3, 5)to(-4, 6)
(2, -1)to(4, -7)
(-2, 5)to(-2, 6)
(3, -2)to(1, -4)
(0, 0)to(-1, 1)
(0, -3)to(4, -5)
(-1, 1)to(-3, 5)
(4, -4)to(4, -6)
(0, 2)to(0, 3)
(-2, -1)to(-2, -2)
(-1, 2)to(-1, 3)
(-2, -2)to(-1, -3)
(0, 3)to(-4, 5)
(-1, -3)to(0, -4)
(-1, 3)to(-1, 2)
(3, -3)to(4, -4)
(-4, 5)to(-2, 5)
(1, -4)to(1, -5)
(-1, 2)to(-2, 3)
(0, -4)to(2, -6)
(-2, 4)to(-1, 4)
(2, -4)to(3, -5)
(-2, 5)to(-2, 4)
(4, -6)to(2, -4)
(-2, 3)to(-4, 5)
(2, -4)to(4, -6)
(-2, 4)to(-2, 5)
(4, -7)to(2, -5)
(-2, 5)to(-1, 5)
(4, -5)to(4, -7)
(-1, 4)to(-2, 5)
